#,title,videoUrl,videoId,publishedAt,position
1,2010 WORLD CUP FINAL: Netherlands 0-1 Spain (AET),https://www.youtube.com/watch?v=aKSHgMqCwbQ&list=PLA50BEC09C3927E83&index=1,aKSHgMqCwbQ,2012-07-11T12:16:44Z,0
42,England v Algeria | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=q9fJShNUE8M&list=PLA50BEC09C3927E83&index=42,q9fJShNUE8M,2012-04-01T23:45:55Z,41
43,USA v Slovenia | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=KvWOdloiJVw&list=PLA50BEC09C3927E83&index=43,KvWOdloiJVw,2012-05-25T16:06:53Z,42
44,Germany v Serbia | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=Ftc2-FqyNMc&list=PLA50BEC09C3927E83&index=44,Ftc2-FqyNMc,2012-05-21T01:38:45Z,43
45,France v Mexico | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=TtNG7sI3fls&list=PLA50BEC09C3927E83&index=45,TtNG7sI3fls,2012-05-17T22:52:01Z,44
46,Greece v Nigeria | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=szJnPifidyk&list=PLA50BEC09C3927E83&index=46,szJnPifidyk,2012-08-17T05:45:20Z,45
47,Argentina v Korea Republic | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=ziMCBTpZSJE&list=PLA50BEC09C3927E83&index=47,ziMCBTpZSJE,2012-08-05T22:35:48Z,46
48,South Africa v Uruguay | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=YW8a6r-U6cY&list=PLA50BEC09C3927E83&index=48,YW8a6r-U6cY,2012-04-16T00:18:50Z,47
49,Spain v Switzerland | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=RxiBdX5F2I8&list=PLA50BEC09C3927E83&index=49,RxiBdX5F2I8,2012-05-10T21:27:37Z,48
50,Honduras v Chile | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=lGx9L_lYyNU&list=PLA50BEC09C3927E83&index=50,lGx9L_lYyNU,2012-05-07T03:13:33Z,49
51,Brazil v Korea DPR | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=cANF1GPT6yQ&list=PLA50BEC09C3927E83&index=51,cANF1GPT6yQ,2012-04-19T23:52:58Z,50
52,Côte d'Ivoire v Portugal | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=hofHzXIUrcQ&list=PLA50BEC09C3927E83&index=52,hofHzXIUrcQ,2012-09-21T04:48:10Z,51
53,New Zealand v Slovakia | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=9EITvhC_mP4&list=PLA50BEC09C3927E83&index=53,9EITvhC_mP4,2012-04-12T21:56:18Z,52
