#,title,videoUrl,videoId,publishedAt,position
1,2014 WORLD CUP FINAL: Germany 1-0 Argentina (AET),https://www.youtube.com/watch?v=ffAYByv2pLc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=1,ffAYByv2pLc,2018-04-28T10:00:12Z,0
37,Netherlands v Chile | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=DU5DS1NUFMg&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=37,DU5DS1NUFMg,2018-04-19T13:45:03Z,36
38,Italy v Uruguay | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=TWpFi-GKSyQ&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=38,TWpFi-GKSyQ,2018-04-19T13:35:03Z,37
39,Switzerland v France | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=upieDR2_ZyY&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=39,upieDR2_ZyY,2018-04-19T14:26:41Z,38
40,France v Honduras | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=63iSm72-A2g&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=40,63iSm72-A2g,2018-04-13T12:31:36Z,39
41,Costa Rica v Greece | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=HgGcAz3vmkA&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=41,HgGcAz3vmkA,2018-04-23T15:18:25Z,40
42,Colombia v Greece | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=Od8dNiUV4mI&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=42,Od8dNiUV4mI,2018-04-13T12:12:40Z,41
43,Korea Republic v Algeria | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=4lf6F7GduiY&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=43,4lf6F7GduiY,2018-04-19T14:09:15Z,42
44,USA v Germany | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=5KQ0e16Et4o&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=44,5KQ0e16Et4o,2018-04-19T14:34:11Z,43
45,Mexico v Cameroon | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=p1Hzc76FPMc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=45,p1Hzc76FPMc,2018-04-13T12:02:21Z,44
46,Chile v Australia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=fnV6s_DgCmE&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=46,fnV6s_DgCmE,2018-04-13T12:10:46Z,45
47,France v Nigeria | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=dtynfMxs-xo&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=47,dtynfMxs-xo,2018-04-23T15:20:08Z,46
48,Belgium v Algeria | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=GHiSc9oZ4eE&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=48,GHiSc9oZ4eE,2018-04-18T16:02:28Z,47
49,Cameroon v Croatia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=zsEivq_9WR0&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=49,zsEivq_9WR0,2018-04-18T16:08:06Z,48
50,Honduras v Ecuador | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=c_7fv6-FONk&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=50,c_7fv6-FONk,2018-04-19T14:23:48Z,49
51,Australia v Spain | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=qSUm8SNqMOM&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=51,qSUm8SNqMOM,2018-04-19T13:53:26Z,50
52,Ecuador v France | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=4d1JbkJ_BGI&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=52,4d1JbkJ_BGI,2018-04-19T13:17:17Z,51
53,Switzerland v Ecuador | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=poCnp__RumY&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=53,poCnp__RumY,2018-04-13T12:27:37Z,52
54,Korea Republic v Belgium | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=TDFp9UzSN0Y&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=54,TDFp9UzSN0Y,2018-04-19T14:38:03Z,53
